,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region
0,Q316119,Gnaeus Pompeius Trogus,re_latin,Latin World,-100.0,historian,antiquity
1,Q782074,Claudianus Mamertus,re_latin,Latin World,420.0,theologian | philosopher,antiquity
2,Q182123,Irenaeus,re_latin,Latin World,130.0,theologian | philosopher,antiquity
3,Q44344,Hilary of Poitiers,re_latin,Latin World,315.0,theologian | philosopher,antiquity
4,Q1430,Marcus Aurelius,re_latin,Latin World,121.0,philosopher,antiquity
5,Q313795,John Cassian,re_latin,Latin World,360.0,theologian,antiquity
6,Q50082878,Jess Wade,re_latin,Latin World,2.0,physicist,antiquity
7,Q723645,Victorius of Aquitaine,re_latin,Latin World,450.0,astronomer | mathematician,antiquity
8,Q209102,Lactantius,re_latin,Latin World,250.0,philosopher | historian,antiquity
9,Q2891791,Latinius Pacatus Drepanius,re_latin,Latin World,400.0,historian,antiquity
10,Q2161,Tacitus,re_latin,Latin World,54.0,philosopher | historian,antiquity
11,Q885870,Victorinus Junior,re_latin,Latin World,300.0,historian,antiquity
12,Q239448,Pompeia Plotina,re_latin,Latin World,70.0,philosopher,antiquity
13,Q532684,Salvian,re_latin,Latin World,400.0,theologian | historian,antiquity
14,Q336704,Sulpicius Severus,re_latin,Latin World,360.0,historian,antiquity
15,Q297515,Pomponius Mela,re_latin,Latin World,15.0,geographer | historian,antiquity
16,Q188646,Lucan,re_latin,Latin World,39.0,historian,antiquity
17,Q535060,Terentianus,re_latin,Latin World,150.0,linguist,antiquity
18,Q10133,Suetonius,re_latin,Latin World,70.0,historian,antiquity
19,Q109998607,Tommaso Massarini,re_latin,Latin World,18.0,historian,antiquity
20,Q656891,Arulenus Rusticus,re_latin,Latin World,35.0,philosopher,antiquity
21,Q207113,Hippolytus,re_latin,Latin World,170.0,theologian,antiquity
22,Q755297,Athenaeus Mechanicus,re_latin,Latin World,-199.0,philosopher | mathematician,antiquity
23,Q74243,Marcus Cluvius Rufus,re_latin,Latin World,50.0,historian,antiquity
24,Q506540,Didymus Chalcenterus,re_latin,Latin World,-62.0,linguist,antiquity
25,Q248733,Eusebius of Myndus,re_latin,Latin World,300.0,philosopher,antiquity
26,Q311835,Pittacus of Mytilene,re_greek_world,Greek World,-650.0,philosopher,antiquity
27,Q708247,Gaius Marius Victorinus,re_latin,Latin World,290.0,theologian | philosopher,antiquity
28,Q134189,Plotinus,re_latin,Latin World,205.0,philosopher,antiquity
29,Q594441,Publius Clodius Thrasea Paetus,re_latin,Latin World,100.0,philosopher,antiquity
30,Q706319,Marinus of Tyre,re_latin,Latin World,100.0,geographer | mathematician,antiquity
